Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
ACTG1P20,ENSG00000241547,-0.266,5.15E-01,8.82E-01,actin gamma 1 pseudogene 20
ACTG1P24,ENSG00000226359,-1.126,4.10E-02,3.40E-01,actin gamma 1 pseudogene 24
ACTG1P3,ENSG00000215388,0.489,2.53E-01,7.27E-01,actin gamma 1 pseudogene 3
ACTG1P4,ENSG00000236085, , , ,actin gamma 1 pseudogene 4
ACTG1P9,ENSG00000229349,-0.125,8.64E-01, ,actin gamma 1 pseudogene 9
ACTG2,ENSG00000163017,2.46,6.64E-05,5.73E-03,"actin, gamma 2, smooth muscle, enteric"
ACTL10,ENSG00000182584,-0.679,3.12E-01,7.74E-01,actin-like 10
ACTL6A,ENSG00000136518,-0.149,6.66E-01,9.39E-01,actin-like 6A
ACTL6B,ENSG00000077080,0.024,9.72E-01,9.97E-01,actin-like 6B
ACTL7A,ENSG00000187003, , , ,actin-like 7A
ACTL7B,ENSG00000148156,-0.582,4.66E-01, ,actin-like 7B
ACTL8,ENSG00000117148,-0.054,9.45E-01, ,actin-like 8
ACTL9,ENSG00000181786, , , ,actin-like 9
ACTN1,ENSG00000072110,1.981,2.10E-04,1.30E-02,"actinin, alpha 1"
ACTN1-AS1,ENSG00000259062,0.229,6.45E-01,9.32E-01,ACTN1 antisense RNA 1
ACTN2,ENSG00000077522,-0.337,5.58E-01,9.02E-01,"actinin, alpha 2"
ACTN3,ENSG00000248746,-1.244, , ,"actinin, alpha 3 (gene/pseudogene)"
ACTN3,ENSG00000250105,-0.286,6.96E-01, ,"actinin, alpha 3 (gene/pseudogene)"
ACTN4,ENSG00000130402,0.708,8.43E-02,4.79E-01,"actinin, alpha 4"
ACTN4P1,ENSG00000213493,-0.558,4.45E-01, ,"actinin, alpha 4 pseudogene 1"
ACTN4P2,ENSG00000214141, , , ,"actinin, alpha 4 pseudogene 2"
ACTR10,ENSG00000131966,0.243,2.14E-01,6.88E-01,actin-related protein 10 homolog (S. cerevisiae)
ACTR1A,ENSG00000138107,0.011,9.58E-01,9.96E-01,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
ACTR1B,ENSG00000115073,-0.236,2.98E-01,7.64E-01,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"
ACTR2,ENSG00000138071,0.664,3.81E-02,3.28E-01,ARP2 actin-related protein 2 homolog (yeast)
ACTR3,ENSG00000115091,0.717,1.51E-02,1.98E-01,ARP3 actin-related protein 3 homolog (yeast)
ACTR3B,ENSG00000133627,0.154,6.81E-01,9.43E-01,ARP3 actin-related protein 3 homolog B (yeast)
ACTR3BP1,ENSG00000270242, , , ,ACTR3B pseudogene 1
ACTR3BP2,ENSG00000226481, , , ,ACTR3B pseudogene 2
ACTR3BP3,ENSG00000260327, , , ,ACTR3B pseudogene 3
ACTR3BP4,ENSG00000249283, , , ,ACTR3B pseudogene 4
ACTR3BP5,ENSG00000227264, , , ,ACTR3B pseudogene 5
ACTR3BP6,ENSG00000226444, , , ,ACTR3B pseudogene 6
ACTR3C,ENSG00000106526,-0.617,4.25E-01, ,ARP3 actin-related protein 3 homolog C (yeast)
ACTR3P2,ENSG00000232267, , , ,ACTR3 pseudogene 2
ACTR3P3,ENSG00000242573, , , ,ACTR3 pseudogene 3
ACTR5,ENSG00000101442,-0.14,3.72E-01,8.15E-01,ARP5 actin-related protein 5 homolog (yeast)
ACTR6,ENSG00000075089,-0.056,8.59E-01,9.80E-01,ARP6 actin-related protein 6 homolog (yeast)
ACTR6P1,ENSG00000248915,0.301,5.46E-01, ,ACTR6 pseudogene 1
ACTR8,ENSG00000113812,0.185,3.53E-01,8.04E-01,ARP8 actin-related protein 8 homolog (yeast)
ACTRT1,ENSG00000123165,0.301,5.46E-01, ,actin-related protein T1
ACTRT2,ENSG00000169717, , , ,actin-related protein T2
ACTRT3,ENSG00000184378,-0.022,9.76E-01,9.97E-01,actin-related protein T3
ACVR1,ENSG00000115170,1.212,6.09E-03,1.21E-01,"activin A receptor, type I"
ACVR1B,ENSG00000135503,-0.051,9.11E-01,9.90E-01,"activin A receptor, type IB"
ACVR1C,ENSG00000123612,0.441,5.22E-01,8.84E-01,"activin A receptor, type IC"
ACVR2A,ENSG00000121989,-0.184,5.62E-01,9.03E-01,"activin A receptor, type IIA"
ACVR2B,ENSG00000114739,-0.418,4.95E-01,8.73E-01,"activin A receptor, type IIB"
ACVR2B-AS1,ENSG00000229589,-0.4,3.61E-01,8.09E-01,ACVR2B antisense RNA 1
ACVRL1,ENSG00000139567,0.974,2.19E-01,6.93E-01,activin A receptor type II-like 1
ACY1,ENSG00000243989,0.21,5.34E-01,8.91E-01,aminoacylase 1
ACY3,ENSG00000132744,-0.376,4.48E-01, ,aminoacylase 3
ACYP1,ENSG00000119640,-0.39,3.65E-01,8.11E-01,"acylphosphatase 1, erythrocyte (common) type"
ACYP2,ENSG00000170634,-0.216,6.27E-01,9.26E-01,"acylphosphatase 2, muscle type"
ADA,ENSG00000196839,0.367,2.72E-01,7.43E-01,adenosine deaminase
ADAD1,ENSG00000164113,-0.132,8.66E-01, ,adenosine deaminase domain containing 1 (testis-specific)
ADAD1P2,ENSG00000267511, , , ,adenosine deaminase domain containing 1 (testis-specific) pseudogene 2
ADAD2,ENSG00000140955,0.223,7.80E-01, ,adenosine deaminase domain containing 2
ADAL,ENSG00000168803,0.008,9.70E-01,9.97E-01,adenosine deaminase-like
ADAM10,ENSG00000137845,0.24,2.67E-01,7.38E-01,ADAM metallopeptidase domain 10
ADAM11,ENSG00000073670,-0.006,9.92E-01,9.98E-01,ADAM metallopeptidase domain 11
ADAM12,ENSG00000148848,3.236,1.10E-07,2.92E-05,ADAM metallopeptidase domain 12
ADAM15,ENSG00000143537,-0.044,8.99E-01,9.87E-01,ADAM metallopeptidase domain 15
ADAM17,ENSG00000151694,-0.036,9.13E-01,9.90E-01,ADAM metallopeptidase domain 17
ADAM18,ENSG00000168619,0.552,4.57E-01, ,ADAM metallopeptidase domain 18
ADAM19,ENSG00000135074,2.005,5.97E-07,1.26E-04,ADAM metallopeptidase domain 19
ADAM1A,ENSG00000229186,-0.173,6.38E-01,9.31E-01,ADAM metallopeptidase domain 1A (pseudogene)
ADAM1B,ENSG00000226469,0.124,8.38E-01, ,ADAM metallopeptidase domain 1B (pseudogene)
ADAM2,ENSG00000104755,0.156,8.23E-01, ,ADAM metallopeptidase domain 2
ADAM20,ENSG00000134007,0.456,1.09E-01,5.39E-01,ADAM metallopeptidase domain 20
ADAM20P1,ENSG00000259158,0.345,5.38E-01,8.93E-01,ADAM metallopeptidase domain 20 pseudogene 1
ADAM20P2,ENSG00000248574, , , ,ADAM metallopeptidase domain 20 pseudogene 2
ADAM20P3,ENSG00000249162, , , ,ADAM metallopeptidase domain 20 pseudogene 3
ADAM21,ENSG00000139985,0.037,9.46E-01,9.94E-01,ADAM metallopeptidase domain 21
ADAM21P1,ENSG00000235812,1.263,9.18E-02, ,ADAM metallopeptidase domain 21 pseudogene 1
ADAM22,ENSG00000008277,-0.254,6.46E-01,9.33E-01,ADAM metallopeptidase domain 22
ADAM23,ENSG00000114948,0.18,6.59E-01,9.37E-01,ADAM metallopeptidase domain 23
ADAM24P,ENSG00000214607, , , ,"ADAM metallopeptidase domain 24, pseudogene"
ADAM28,ENSG00000042980,-0.605,3.20E-01,7.80E-01,ADAM metallopeptidase domain 28
ADAM29,ENSG00000168594,0.925,1.34E-01,5.81E-01,ADAM metallopeptidase domain 29
ADAM30,ENSG00000134249,-0.479,3.75E-01, ,ADAM metallopeptidase domain 30
ADAM32,ENSG00000197140,-0.713,1.60E-01,6.22E-01,ADAM metallopeptidase domain 32
ADAM33,ENSG00000149451,-0.601, , ,ADAM metallopeptidase domain 33
ADAM3A,ENSG00000197475,0.333,6.76E-01, ,ADAM metallopeptidase domain 3A (pseudogene)
ADAM3B,ENSG00000260089,-0.094,8.11E-01,9.72E-01,ADAM metallopeptidase domain 3B (pseudogene)
ADAM5,ENSG00000196115,-0.263,7.34E-01, ,ADAM metallopeptidase domain 5 (pseudogene)
ADAM6,ENSG00000271968, , , ,ADAM metallopeptidase domain 6 (pseudogene)
ADAM7,ENSG00000069206,0.47,4.25E-01, ,ADAM metallopeptidase domain 7
ADAM8,ENSG00000151651,0.203,5.23E-01,8.85E-01,ADAM metallopeptidase domain 8
ADAM9,ENSG00000168615,0.001,9.98E-01,1.00E+00,ADAM metallopeptidase domain 9
ADAMDEC1,ENSG00000134028,-0.061,9.14E-01, ,"ADAM-like, decysin 1"
ADAMTS1,ENSG00000154734,1.178,9.77E-02,5.11E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 1"
ADAMTS10,ENSG00000142303,0.03,9.20E-01,9.91E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 10"
ADAMTS12,ENSG00000151388,1.477,5.42E-03,1.13E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 12"
ADAMTS13,ENSG00000160323,0.117,6.60E-01,9.37E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 13"
ADAMTS14,ENSG00000138316,2.318,3.41E-05,3.52E-03,"ADAM metallopeptidase with thrombospondin type 1 motif, 14"
ADAMTS15,ENSG00000166106,0.751,2.42E-01,7.21E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 15"
ADAMTS16,ENSG00000145536,1.916,1.26E-02,1.80E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 16"
ADAMTS17,ENSG00000140470,-0.148, , ,"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
ADAMTS18,ENSG00000140873,0.871,2.01E-01,6.74E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
ADAMTS19,ENSG00000145808,-0.568,4.38E-01,8.49E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 19"
ADAMTS19-AS1,ENSG00000249421,0.058,9.42E-01, ,ADAMTS19 antisense RNA 1
ADAMTS2,ENSG00000087116,1.79,1.19E-02,1.75E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 2"
ADAMTS20,ENSG00000173157,1.63,1.51E-02,1.98E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 20"
ADAMTS3,ENSG00000156140,-1.156,4.69E-03,1.04E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 3"
ADAMTS4,ENSG00000158859,1.09,1.18E-01,5.52E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 4"
ADAMTS5,ENSG00000154736,0.569,3.82E-01,8.19E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 5"
ADAMTS6,ENSG00000049192,1.619,7.70E-03,1.38E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 6"
ADAMTS7,ENSG00000136378,0.246,5.58E-01,9.02E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 7"
ADAMTS7P3,ENSG00000261143,0.385,6.10E-01, ,ADAMTS7 pseudogene 3
ADAMTS7P4,ENSG00000218052,0.049,9.51E-01, ,ADAMTS7 pseudogene 4
ADAMTS8,ENSG00000134917,0.714,1.74E-01,6.43E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 8"
ADAMTS9,ENSG00000163638,0.426,5.72E-01,9.08E-01,"ADAM metallopeptidase with thrombospondin type 1 motif, 9"
ADAMTS9-AS1,ENSG00000241158,-0.35,5.76E-01, ,ADAMTS9 antisense RNA 1
ADAMTS9-AS2,ENSG00000241684,0.511,3.61E-01,8.09E-01,ADAMTS9 antisense RNA 2
ADAMTSL1,ENSG00000178031,0.582,1.16E-01,5.49E-01,ADAMTS-like 1
ADAMTSL2,ENSG00000197859,0.454,5.27E-01,8.87E-01,ADAMTS-like 2
ADAMTSL3,ENSG00000156218,0.93, , ,ADAMTS-like 3
ADAMTSL4,ENSG00000143382,0.037,9.55E-01,9.96E-01,ADAMTS-like 4
ADAMTSL4-AS1,ENSG00000203804,0.408,2.87E-01,7.55E-01,ADAMTSL4 antisense RNA 1
ADAMTSL5,ENSG00000185761,1.64,1.25E-02,1.79E-01,ADAMTS-like 5
ADAP1,ENSG00000105963,0.614,2.66E-01,7.38E-01,ArfGAP with dual PH domains 1
ADAP2,ENSG00000184060,-0.178,7.24E-01,9.54E-01,ArfGAP with dual PH domains 2
ADAR,ENSG00000160710,0.019,9.13E-01,9.90E-01,"adenosine deaminase, RNA-specific"
ADARB1,ENSG00000197381,0.434,2.50E-01,7.26E-01,"adenosine deaminase, RNA-specific, B1"
ADARB2,ENSG00000185736,0.504,5.09E-01,8.79E-01,"adenosine deaminase, RNA-specific, B2 (non-functional)"
ADARB2-AS1,ENSG00000205696, , , ,ADARB2 antisense RNA 1
ADAT1,ENSG00000065457,0.184,3.38E-01,7.94E-01,"adenosine deaminase, tRNA-specific 1"
ADAT2,ENSG00000189007,0.067,7.82E-01,9.67E-01,"adenosine deaminase, tRNA-specific 2"
ADAT3,ENSG00000213638,-0.844,5.37E-03,1.12E-01,"adenosine deaminase, tRNA-specific 3"
ADCK1,ENSG00000063761,-0.024,9.10E-01,9.90E-01,aarF domain containing kinase 1
ADCK2,ENSG00000133597,0.368,3.21E-01,7.81E-01,aarF domain containing kinase 2
ADCK3,ENSG00000163050,-0.624,8.28E-02,4.76E-01,aarF domain containing kinase 3
ADCK4,ENSG00000123815,-0.505,3.37E-02,3.08E-01,aarF domain containing kinase 4
ADCK5,ENSG00000173137,0.026,8.94E-01,9.87E-01,aarF domain containing kinase 5
ADCY1,ENSG00000164742,0.757,3.73E-02,3.24E-01,adenylate cyclase 1 (brain)
ADCY10,ENSG00000143199,-0.439,4.22E-01,8.41E-01,adenylate cyclase 10 (soluble)
ADCY10P1,ENSG00000161912,0.009,9.75E-01,9.97E-01,adenylate cyclase 10 (soluble) pseudogene 1
ADCY2,ENSG00000078295,0.188,5.91E-01,9.12E-01,adenylate cyclase 2 (brain)
ADCY3,ENSG00000138031,0.301,5.44E-01,8.96E-01,adenylate cyclase 3
ADCY4,ENSG00000129467,0.335,5.57E-01,9.02E-01,adenylate cyclase 4
ADCY5,ENSG00000173175,0.247,6.23E-01,9.25E-01,adenylate cyclase 5
ADCY6,ENSG00000174233,0.387,1.83E-01,6.53E-01,adenylate cyclase 6
ADCY7,ENSG00000121281,0.944,2.15E-03,6.40E-02,adenylate cyclase 7
ADCY8,ENSG00000155897,-1.358,3.90E-02,3.32E-01,adenylate cyclase 8 (brain)
ADCY9,ENSG00000162104,0.664,4.82E-02,3.66E-01,adenylate cyclase 9
ADCYAP1,ENSG00000265179,-1.214,3.78E-02,3.26E-01,adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1,ENSG00000141433,-1.078,1.08E-01,5.36E-01,adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1,ENSG00000265671, , , ,adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1R1,ENSG00000078549,-1.192,5.62E-02,3.96E-01,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ADD1,ENSG00000087274,-0.124,5.83E-01,9.10E-01,adducin 1 (alpha)
ADD2,ENSG00000075340,0.169,7.73E-01,9.66E-01,adducin 2 (beta)
ADD3,ENSG00000148700,-0.147,7.67E-01,9.64E-01,adducin 3 (gamma)
ADD3-AS1,ENSG00000203876,-0.284,5.60E-01,9.02E-01,ADD3 antisense RNA 1
ADGB,ENSG00000118492,-1.885, , ,androglobin
ADGRA1,ENSG00000197177,0.382,4.48E-01,8.52E-01,adhesion G protein-coupled receptor A1
ADGRA1-AS1,ENSG00000256925,-0.247,7.51E-01,9.61E-01,adhesion G protein-coupled receptor A1 antisense RNA 1
ADGRA2,ENSG00000020181,1.066,1.65E-01,6.30E-01,adhesion G protein-coupled receptor A2
ADGRA3,ENSG00000152990,0.083,7.91E-01,9.69E-01,adhesion G protein-coupled receptor A3
ADGRB1,ENSG00000181790,0.132,8.22E-01,9.74E-01,adhesion G protein-coupled receptor B1
ADGRB2,ENSG00000121753,-0.575,7.24E-02,4.48E-01,adhesion G protein-coupled receptor B2
ADGRB3,ENSG00000135298,-0.168,7.36E-01,9.57E-01,adhesion G protein-coupled receptor B3
ADGRD1,ENSG00000111452,-1.372, , ,adhesion G protein-coupled receptor D1
ADGRD2,ENSG00000180264,-2.537, , ,adhesion G protein-coupled receptor D2
ADGRE1,ENSG00000174837, , , ,adhesion G protein-coupled receptor E1
ADGRE2,ENSG00000127507,0.146,7.96E-01,9.69E-01,adhesion G protein-coupled receptor E2
ADGRE3,ENSG00000131355,-0.024,9.66E-01, ,adhesion G protein-coupled receptor E3
ADGRE4P,ENSG00000268758,-1.03,1.61E-01, ,"adhesion G protein-coupled receptor E4, pseudogene"
ADGRE5,ENSG00000123146,0.404,5.21E-01,8.84E-01,adhesion G protein-coupled receptor E5
ADGRF1,ENSG00000153292,0.93,1.43E-01, ,adhesion G protein-coupled receptor F1
ADGRF2,ENSG00000164393,1.739,1.50E-02,1.98E-01,adhesion G protein-coupled receptor F2
ADGRF3,ENSG00000173567,-0.592,2.48E-01,7.25E-01,adhesion G protein-coupled receptor F3
ADGRF4,ENSG00000153294,1.19,1.34E-01, ,adhesion G protein-coupled receptor F4
ADGRF5,ENSG00000069122,1.127,1.42E-01,5.94E-01,adhesion G protein-coupled receptor F5
ADGRG1,ENSG00000205336,-1.202,2.71E-02,2.76E-01,adhesion G protein-coupled receptor G1
ADGRG2,ENSG00000173698,0.134,8.67E-01,9.81E-01,adhesion G protein-coupled receptor G2
ADGRG3,ENSG00000182885,-0.829,2.51E-01,7.26E-01,adhesion G protein-coupled receptor G3
ADGRG4,ENSG00000156920,-1.347,6.36E-02, ,adhesion G protein-coupled receptor G4
ADGRG5,ENSG00000159618,0.481,4.18E-01, ,adhesion G protein-coupled receptor G5
ADGRG6,ENSG00000112414,0.317,6.90E-01,9.46E-01,adhesion G protein-coupled receptor G6
ADGRG7,ENSG00000144820,0.349,6.54E-01, ,adhesion G protein-coupled receptor G7
ADGRL1,ENSG00000072071,0.298,4.27E-01,8.44E-01,adhesion G protein-coupled receptor L1
ADGRL2,ENSG00000117114,-0.104,8.28E-01,9.76E-01,adhesion G protein-coupled receptor L2
ADGRL3,ENSG00000150471,0.373,4.30E-01,8.45E-01,adhesion G protein-coupled receptor L3
ADGRL3-AS1,ENSG00000248692, , , ,adhesion G protein-coupled receptor L3 antisense RNA 1
ADGRL4,ENSG00000162618,2.609,4.54E-07,9.75E-05,adhesion G protein-coupled receptor L4
ADGRV1,ENSG00000164199,-1.569,1.67E-02,2.08E-01,adhesion G protein-coupled receptor V1
ADH1A,ENSG00000187758,-0.046,9.36E-01, ,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
ADH1B,ENSG00000196616,-1.623, , ,"alcohol dehydrogenase 1B (class I), beta polypeptide"
ADH1C,ENSG00000248144,0.719,3.68E-01, ,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
ADH4,ENSG00000198099,-0.652,4.14E-01, ,"alcohol dehydrogenase 4 (class II), pi polypeptide"
ADH5,ENSG00000197894,-0.186,5.19E-01,8.83E-01,"alcohol dehydrogenase 5 (class III), chi polypeptide"
ADH5P2,ENSG00000232676, , , ,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2"
ADH5P3,ENSG00000223694,-0.063,9.17E-01,9.90E-01,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 3"
ADH5P4,ENSG00000233859,0.171,8.06E-01, ,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4"
ADH6,ENSG00000172955,-0.94,2.36E-01, ,alcohol dehydrogenase 6 (class V)
ADH7,ENSG00000196344,-0.756,3.44E-01, ,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
ADHFE1,ENSG00000147576,-1.601,2.10E-06,3.81E-04,"alcohol dehydrogenase, iron containing, 1"
ADI1,ENSG00000182551,0.504,2.43E-01,7.21E-01,acireductone dioxygenase 1
ADIG,ENSG00000182035,0.247,7.41E-01, ,adipogenin
ADIPOQ,ENSG00000181092,0.687,3.60E-01, ,"adiponectin, C1Q and collagen domain containing"
ADIPOQ-AS1,ENSG00000226482,-0.85,2.64E-01, ,ADIPOQ antisense RNA 1
ADIPOR1,ENSG00000159346,0.149,5.42E-01,8.95E-01,adiponectin receptor 1
ADIPOR1P1,ENSG00000232497, , , ,adiponectin receptor 1 pseudogene 1
ADIPOR1P2,ENSG00000258805, , , ,adiponectin receptor 1 pseudogene 2
ADIPOR2,ENSG00000006831,-0.082,7.96E-01,9.69E-01,adiponectin receptor 2
ADIRF,ENSG00000148671,0.772,3.27E-01, ,adipogenesis regulatory factor
ADIRF-AS1,ENSG00000272734,-0.047,9.53E-01,9.95E-01,ADIRF antisense RNA 1
ADK,ENSG00000156110,-0.445,2.28E-01,7.06E-01,adenosine kinase
ADM,ENSG00000148926,2.002,2.19E-03,6.44E-02,adrenomedullin
ADM2,ENSG00000128165,1.741,2.19E-02,2.46E-01,adrenomedullin 2
ADM5,ENSG00000224420,-0.057,8.89E-01,9.86E-01,adrenomedullin 5 (putative)
ADNP,ENSG00000101126,0.039,8.44E-01,9.77E-01,activity-dependent neuroprotector homeobox
ADNP-AS1,ENSG00000259456,0.238,6.32E-01,9.29E-01,ADNP antisense RNA 1
ADNP2,ENSG00000101544,-0.108,6.03E-01,9.18E-01,ADNP homeobox 2
ADO,ENSG00000181915,-0.004,9.82E-01,9.97E-01,2-aminoethanethiol (cysteamine) dioxygenase
ADORA1,ENSG00000163485,0.531,3.29E-01,7.87E-01,adenosine A1 receptor
ADORA2A,ENSG00000128271,0.013,9.65E-01,9.96E-01,adenosine A2a receptor
ADORA2A-AS1,ENSG00000178803,0.027,9.73E-01, ,ADORA2A antisense RNA 1
ADORA2B,ENSG00000170425,0.969,5.89E-02,4.05E-01,adenosine A2b receptor
ADORA2BP1,ENSG00000236136, , , ,adenosine A2b receptor pseudogene 1
ADPGK,ENSG00000159322,0.608,1.48E-01,6.05E-01,ADP-dependent glucokinase
ADPGK-AS1,ENSG00000260898,0.252,5.44E-01,8.96E-01,ADPGK antisense RNA 1
ADPRH,ENSG00000144843,0.743,2.56E-01,7.30E-01,ADP-ribosylarginine hydrolase
ADPRHL1,ENSG00000153531,-0.802,7.75E-02,4.60E-01,ADP-ribosylhydrolase like 1
ADPRHL2,ENSG00000116863,-0.165,5.11E-01,8.80E-01,ADP-ribosylhydrolase like 2
ADPRM,ENSG00000170222,0.021,9.05E-01,9.89E-01,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent"
ADRA1A,ENSG00000120907,0.489,3.85E-01,8.21E-01,adrenoceptor alpha 1A
ADRA1B,ENSG00000170214,0.397,5.61E-01,9.03E-01,adrenoceptor alpha 1B
ADRA1D,ENSG00000171873,1.644,1.37E-02,1.88E-01,adrenoceptor alpha 1D
ADRA2A,ENSG00000150594,0.198, , ,adrenoceptor alpha 2A
ADRA2C,ENSG00000184160,1.352,3.37E-02,3.08E-01,adrenoceptor alpha 2C
ADRB1,ENSG00000043591,0.722,1.79E-01,6.48E-01,adrenoceptor beta 1
ADRB2,ENSG00000169252,-0.355,6.06E-01,9.19E-01,"adrenoceptor beta 2, surface"
ADRB3,ENSG00000188778,-0.365,6.04E-01, ,adrenoceptor beta 3
ADRBK1,ENSG00000173020,-0.136,5.59E-01,9.02E-01,"adrenergic, beta, receptor kinase 1"
ADRBK2,ENSG00000100077,0.49,4.00E-01,8.29E-01,"adrenergic, beta, receptor kinase 2"
ADRM1,ENSG00000130706,0.449,8.02E-02,4.69E-01,adhesion regulating molecule 1
ADRM1,ENSG00000226332,0.67,1.32E-01,5.77E-01,adhesion regulating molecule 1
ADSL,ENSG00000239900,0.142,5.52E-01,8.99E-01,adenylosuccinate lyase
ADSS,ENSG00000035687,-0.036,8.30E-01,9.76E-01,adenylosuccinate synthase
ADSSL1,ENSG00000185100,0.029,9.51E-01,9.95E-01,adenylosuccinate synthase like 1
ADTRP,ENSG00000111863,2.023,5.70E-03,1.16E-01,androgen-dependent TFPI-regulating protein
AEBP1,ENSG00000106624,0.249,7.16E-01,9.52E-01,AE binding protein 1
AEBP2,ENSG00000139154,0.083,7.56E-01,9.61E-01,AE binding protein 2
AEN,ENSG00000181026,0.528,1.77E-01,6.47E-01,apoptosis enhancing nuclease
AES,ENSG00000104964,-0.059,8.41E-01,9.76E-01,amino-terminal enhancer of split
AFAP1,ENSG00000196526,0.551,1.64E-01,6.29E-01,actin filament associated protein 1
AFAP1-AS1,ENSG00000272620,-0.122,8.74E-01, ,AFAP1 antisense RNA 1
AFAP1L1,ENSG00000157510,0.439,5.11E-01,8.80E-01,actin filament associated protein 1-like 1
AFAP1L2,ENSG00000169129,0.544,2.45E-01,7.23E-01,actin filament associated protein 1-like 2
AFF1,ENSG00000172493,-0.17,7.26E-01,9.54E-01,"AF4/FMR2 family, member 1"
AFF2,ENSG00000155966,-0.007,9.89E-01,9.98E-01,"AF4/FMR2 family, member 2"
AFF2-IT1,ENSG00000223516,0.381,5.17E-01,8.82E-01,AFF2 intronic transcript 1
AFF3,ENSG00000144218,0.149,6.79E-01,9.43E-01,"AF4/FMR2 family, member 3"
AFF4,ENSG00000072364,0.27,2.60E-01,7.32E-01,"AF4/FMR2 family, member 4"
AFG3L1P,ENSG00000223959,-0.24,8.32E-02,4.77E-01,"AFG3-like AAA ATPase 1, pseudogene"
AFG3L2,ENSG00000141385,0.146,3.85E-01,8.21E-01,AFG3-like AAA ATPase 2
AFG3L2P1,ENSG00000253606,-0.376,4.48E-01, ,AFG3-like AAA ATPase 2 pseudogene 1
AFM,ENSG00000079557,-0.261,6.66E-01, ,afamin
AFMID,ENSG00000183077,0.565,2.15E-01,6.89E-01,arylformamidase
AFP,ENSG00000081051,1.873,3.49E-03,8.76E-02,alpha-fetoprotein
AFTPH,ENSG00000119844,-0.186,6.09E-01,9.20E-01,aftiphilin
AGA,ENSG00000038002,0.33,4.99E-01,8.74E-01,aspartylglucosaminidase
AGAP1,ENSG00000157985,0.023,9.55E-01,9.96E-01,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
AGAP1-IT1,ENSG00000235529,0.307,4.56E-01,8.55E-01,AGAP1 intronic transcript 1
AGAP10P,ENSG00000230869,-0.73,3.44E-01, ,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 10 pseudogene"
AGAP2,ENSG00000135439,0.147,7.80E-01,9.66E-01,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
AGAP2-AS1,ENSG00000255737,0.523,3.79E-01,8.18E-01,AGAP2 antisense RNA 1
AGAP3,ENSG00000133612,0.024,9.31E-01,9.92E-01,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
AGAP6 (includes others),ENSG00000204149,0.161,4.27E-01,8.44E-01,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"
AGAP6 (includes others),ENSG00000204172,-0.169,4.99E-01,8.74E-01,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5"
